rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/exploration_rate,train/loss,train/learning_rate,train/n_updates
300.0,1247,249,310800,1036,-0.12156088000000008,0.41944905660377363,0.002964944578707218,0.0001,2707
300.0,1249,249,312000,1040,-0.2151933700000001,0.41720754716981123,0.004033246543258429,0.0001,2719
300.0,1251,250,313200,1044,-0.18682482,0.4149660377358493,0.0011685267090797424,0.0001,2731
300.0,1253,250,314400,1048,-0.21627843,0.4127245283018868,0.0018613345455378294,0.0001,2743
300.0,1256,251,315600,1052,-0.16772446,0.4104830188679248,0.002918667858466506,0.0001,2755
300.0,1258,251,316800,1056,-0.24320809000000002,0.4082415094339623,0.0024566971696913242,0.0001,2767
300.0,1260,252,318000,1060,-0.17333562,0.4059999999999999,0.002238287590444088,0.0001,2779
300.0,1262,252,319200,1064,-0.16080772,0.40375849056603796,0.0018893757369369268,0.0001,2791
300.0,1265,253,320400,1068,-0.10352139999999999,0.40151698113207546,0.003223604755476117,0.0001,2803
300.0,1267,253,321600,1072,-0.12894391000000005,0.39927547169811306,0.0033684021327644587,0.0001,2815
300.0,1269,254,322800,1076,-0.08070973000000004,0.397033962264151,0.002518050605431199,0.0001,2827
300.0,1271,254,324000,1080,-0.07160649000000002,0.3947924528301886,0.004745032638311386,0.0001,2839
300.0,1273,255,325200,1084,-0.17210098,0.39255094339622654,0.0018916168482974172,0.0001,2851
300.0,1275,255,326400,1088,-0.06500946999999996,0.39030943396226414,0.0015537107829004526,0.0001,2863
300.0,1277,256,327600,1092,-0.12476186,0.3880679245283021,0.0018089170334860682,0.0001,2875
300.0,1279,256,328800,1096,-0.10293519,0.3858264150943397,0.003281068056821823,0.0001,2887
300.0,1282,257,330000,1100,0.07741788000000004,0.3835849056603773,0.0028761406429111958,0.0001,2899
300.0,1283,258,331200,1104,0.07991036000000001,0.3813433962264152,0.0024880124256014824,0.0001,2911
300.0,1285,258,332400,1108,-0.03581160999999998,0.3791018867924528,0.0009432939696125686,0.0001,2923
300.0,1287,259,333600,1112,0.07870247000000007,0.37686037735849043,0.001847116625867784,0.0001,2935
300.0,1289,259,334800,1116,0.06402555000000003,0.37461886792452836,0.0017065528081730008,0.0001,2947
300.0,1291,260,336000,1120,-0.04851297999999997,0.37237735849056597,0.0027569506783038378,0.0001,2959
300.0,1293,260,337200,1124,-0.15928702,0.3701358490566039,0.0017069362802430987,0.0001,2971
300.0,1295,261,338400,1128,-0.21588310000000008,0.3678943396226415,0.0022991993464529514,0.0001,2983
300.0,1297,261,339600,1132,-0.30096307000000005,0.36565283018867945,0.002185993129387498,0.0001,2995
300.0,1299,262,340800,1136,-0.15648113999999996,0.36341132075471705,0.0019076054450124502,0.0001,3007
300.0,1301,262,342000,1140,-0.22068912999999998,0.36116981132075454,0.0026150799822062254,0.0001,3019
