time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/explained_variance,train/loss,train/approx_kl,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/n_updates,train/clip_fraction
436,553,0.17976372000000002,118,241664,300.0,0.0003,0.23147952556610107,-0.05433046072721481,0.02125819,0.025256021932000293,-0.9756223205476999,-0.035466771414212415,0.2,1170,0.19921875
440,552,0.20518874999999998,119,243712,300.0,0.0003,0.19109541177749634,-0.07161196321249008,0.0202553,0.04268607649719343,-1.0099738277494907,-0.03574120927369222,0.2,1180,0.19716796875
446,549,0.12727673999999994,120,245760,300.0,0.0003,0.3164447546005249,-0.0429665744304657,0.025147159,0.04798876593122259,-1.010414556786418,-0.03385074308898765,0.2,1190,0.206640625
452,548,0.02247597000000001,121,247808,300.0,0.0003,0.25288790464401245,-0.04208886995911598,0.02259864,0.04792389521608129,-0.9989342799410224,-0.03687682026065886,0.2,1200,0.204736328125
459,543,-0.15295266999999999,122,249856,300.0,0.0003,0.24484467506408691,-0.04152863472700119,0.022720454,0.04097097986959852,-1.0140478812158107,-0.03734999456064543,0.2,1210,0.212939453125
462,544,-0.27254272999999984,123,251904,300.0,0.0003,0.46108490228652954,-0.04771580919623375,0.021840855,0.0116837778739864,-1.0166439888998866,-0.037565438183082736,0.2,1220,0.2142578125
466,543,-0.3616068,124,253952,300.0,0.0003,0.19643938541412354,-0.05598203465342522,0.021405391,0.029796645848546178,-0.9966564564034343,-0.03731894412339898,0.2,1230,0.1916015625
470,544,-0.30004604,125,256000,300.0,0.0003,0.134196937084198,-0.052821628749370575,0.023552027,0.05174903722945601,-0.9686117988079787,-0.0361321220654645,0.2,1240,0.200048828125
474,544,-0.28044478,126,258048,300.0,0.0003,0.0023967623710632324,-0.02046806365251541,0.024848316,0.06173577861627564,-0.9835107699036598,-0.0324152345652692,0.2,1250,0.203271484375
478,543,-0.08766476000000005,127,260096,300.0,0.0003,0.06913983821868896,-0.029280096292495728,0.019932315,0.04131568731390871,-0.9935727819800377,-0.032789763162145394,0.2,1260,0.190966796875
481,544,-0.12008279000000005,128,262144,300.0,0.0003,0.11948847770690918,-0.012107551097869873,0.022325521,0.09474097427446396,-0.9686271263286471,-0.033173822093522175,0.2,1270,0.19150390625
486,543,-0.21119595000000005,129,264192,300.0,0.0003,0.0769546627998352,-0.032323479652404785,0.024705509,0.025348340944037772,-0.9479614833369852,-0.03854621418868191,0.2,1280,0.21396484375
489,543,0.05292595000000001,130,266240,300.0,0.0003,0.018173813819885254,-0.03862018510699272,0.025448829,0.01934497099427972,-0.952467055991292,-0.03948475639626849,0.2,1290,0.202734375
491,545,-0.11523157,131,268288,300.0,0.0003,0.3653143048286438,-0.06758181750774384,0.020920409,0.021726922248490155,-0.9623416738584638,-0.03768973539408762,0.2,1300,0.184765625
494,546,-0.01501262999999998,132,270336,300.0,0.0003,0.11504632234573364,-0.0273587666451931,0.021317676,0.045924111542990434,-0.978845713660121,-0.03545356313989032,0.2,1310,0.2041015625
497,547,0.17447388000000008,133,272384,300.0,0.0003,0.2700875401496887,-0.03640091419219971,0.025677864,0.056080827984260395,-0.9403872607275844,-0.0368768546031788,0.2,1320,0.20205078125
499,549,0.17313034000000005,134,274432,300.0,0.0003,0.20421361923217773,-0.030944010242819786,0.024975568,0.0707988927839324,-0.9465212903916835,-0.04009400960057974,0.2,1330,0.209814453125
501,551,0.44162696999999995,135,276480,300.0,0.0003,0.2514318823814392,-0.052806589752435684,0.022245567,0.02789368962403387,-0.9378978049382567,-0.03537675549305277,0.2,1340,0.18896484375
503,553,0.6234617100000001,136,278528,300.0,0.0003,0.39265406131744385,-0.011450545862317085,0.0232768,0.04022494258242659,-0.9091656886041164,-0.03325632048072293,0.2,1350,0.20009765625
505,554,0.7257449300000001,137,280576,300.0,0.0003,0.2206745743751526,-0.06207717955112457,0.023615181,0.060405170428566635,-0.9148743631318211,-0.03404770084016491,0.2,1360,0.20654296875
507,556,0.6705508299999999,138,282624,300.0,0.0003,0.20127397775650024,-0.024819519370794296,0.02145705,0.050000259798252955,-0.9393944879993796,-0.036268956150161104,0.2,1370,0.192529296875
510,558,0.645128,139,284672,300.0,0.0003,0.352658748626709,-0.037742048501968384,0.02391416,0.0506583972950466,-0.9348835162818432,-0.035529149064677766,0.2,1380,0.19990234375
512,559,0.5345693600000001,140,286720,300.0,0.0003,0.33218371868133545,-0.01642964407801628,0.023903739,0.07343167640501633,-0.9569817276671528,-0.038530809243093246,0.2,1390,0.20107421875
