time/total_timesteps,time/episodes,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/exploration_rate,train/loss,train/n_updates,train/learning_rate
235200,784,1353,173,-0.34741757,300.0,0.5606641509433961,0.004477285780012608,1951,0.0001
236400,788,1356,174,-0.34342522,300.0,0.5584226415094341,0.005043627228587866,1963,0.0001
237600,792,1359,174,-0.33528082,300.0,0.5561811320754717,0.005091909319162369,1975,0.0001
238800,796,1362,175,-0.29811431,300.0,0.5539396226415096,0.003719117259606719,1987,0.0001
240000,800,1366,175,-0.29910437,300.0,0.5516981132075472,0.004467533435672522,1999,0.0001
241200,804,1369,176,-0.29207304,300.0,0.5494566037735849,0.0026767009403556585,2011,0.0001
242400,808,1371,176,-0.24689839999999996,300.0,0.5472150943396228,0.007638974115252495,2023,0.0001
243600,812,1374,177,-0.0865946799999999,300.0,0.5449735849056603,0.0024425967130810022,2035,0.0001
244800,816,1377,177,-0.03381043000000005,300.0,0.5427320754716983,0.007039832416921854,2047,0.0001
246000,820,1380,178,-0.002143210000000151,300.0,0.5404905660377359,0.005740064196288586,2059,0.0001
247200,824,1384,178,0.08827121999999994,300.0,0.5382490566037734,0.007696250919252634,2071,0.0001
248400,828,1386,179,0.15472356,300.0,0.5360075471698115,0.006627226248383522,2083,0.0001
249600,832,1389,179,0.14966810000000008,300.0,0.5337660377358491,0.007855917327105999,2095,0.0001
250800,836,1392,180,0.27480540000000003,300.0,0.531524528301887,0.009361093863844872,2107,0.0001
252000,840,1396,180,0.11179441999999991,300.0,0.5292830188679245,0.005916042253375053,2119,0.0001
253200,844,1398,181,0.21146311,300.0,0.527041509433962,0.006491109728813171,2131,0.0001
254400,848,1401,181,0.37198945999999994,300.0,0.5248000000000002,0.003507207380607724,2143,0.0001
255600,852,1404,181,0.46959713999999997,300.0,0.5225584905660376,0.006023363210260868,2155,0.0001
256800,856,1407,182,0.42803692999999987,300.0,0.5203169811320757,0.004936261102557182,2167,0.0001
258000,860,1410,182,0.5325919899999999,300.0,0.5180754716981133,0.002836561994627118,2179,0.0001
259200,864,1413,183,0.58281552,300.0,0.5158339622641512,0.00710946274921298,2191,0.0001
260400,868,1416,183,0.56305298,300.0,0.5135924528301887,0.0046462491154670715,2203,0.0001
261600,872,1418,184,0.7275514700000001,300.0,0.5113509433962263,0.0053377822041511536,2215,0.0001
262800,876,1421,184,0.70169657,300.0,0.5091094339622644,0.005739204585552216,2227,0.0001
264000,880,1423,185,0.81027691,300.0,0.5068679245283019,0.0028039964381605387,2239,0.0001
265200,884,1426,185,0.82363464,300.0,0.5046264150943394,0.01052027102559805,2251,0.0001
266400,888,1428,186,0.8517250600000001,300.0,0.5023849056603774,0.004565540701150894,2263,0.0001
267600,892,1431,186,0.8072069300000001,300.0,0.500143396226415,0.006794324144721031,2275,0.0001
268800,896,1433,187,0.8384220499999999,300.0,0.49790188679245306,0.002494253683835268,2287,0.0001
270000,900,1435,188,0.8960882699999999,300.0,0.49566037735849056,0.0035066273994743824,2299,0.0001
271200,904,1438,188,0.9801509799999998,300.0,0.4934188679245285,0.0044303410686552525,2311,0.0001
272400,908,1440,189,0.88063822,300.0,0.4911773584905661,0.0036575673148036003,2323,0.0001
273600,912,1443,189,0.8319790799999999,300.0,0.4889358490566037,0.003696640720590949,2335,0.0001
274800,916,1446,190,0.7126715299999999,300.0,0.48669433962264175,0.0043194955214858055,2347,0.0001
276000,920,1448,190,0.74260414,300.0,0.48445283018867924,0.008081106469035149,2359,0.0001
277200,924,1451,191,0.72750298,300.0,0.48221132075471673,0.006514474283903837,2371,0.0001
278400,928,1453,191,0.7025128600000001,300.0,0.4799698113207548,0.0023217536509037018,2383,0.0001
279600,932,1456,192,0.7684072800000001,300.0,0.4777283018867924,0.007874933071434498,2395,0.0001
280800,936,1458,192,0.65019124,300.0,0.4754867924528303,0.003514061216264963,2407,0.0001
282000,940,1461,193,0.75332418,300.0,0.4732452830188679,0.004398104269057512,2419,0.0001
283200,944,1463,193,0.7188307899999998,300.0,0.47100377358490586,0.0057823508977890015,2431,0.0001
284400,948,1466,193,0.7775407900000001,300.0,0.46876226415094346,0.008901022374629974,2443,0.0001
285600,952,1468,194,0.65616166,300.0,0.46652075471698107,0.0049271248281002045,2455,0.0001
286800,956,1470,195,0.71258411,300.0,0.464279245283019,0.0038768723607063293,2467,0.0001
288000,960,1472,195,0.6624917400000001,300.0,0.4620377358490566,0.006664629094302654,2479,0.0001
289200,964,1475,196,0.6103958100000001,300.0,0.4597962264150941,0.005448975134640932,2491,0.0001
290400,968,1477,196,0.73269539,300.0,0.45755471698113215,0.00921705737709999,2503,0.0001
291600,972,1479,197,0.5898869699999998,300.0,0.45531320754716975,0.0057242875918745995,2515,0.0001
292800,976,1482,197,0.48460594,300.0,0.4530716981132077,0.0036120798904448748,2527,0.0001
294000,980,1483,198,0.4545905699999999,300.0,0.4508301886792452,0.00791146419942379,2539,0.0001
295200,984,1485,198,0.3970051599999999,300.0,0.44858867924528323,0.0057314070872962475,2551,0.0001
296400,988,1487,199,0.28403324999999996,300.0,0.44634716981132083,0.005723516456782818,2563,0.0001
297600,992,1489,199,0.26687546999999995,300.0,0.4441056603773583,0.00584976514801383,2575,0.0001
298800,996,1492,200,0.3139796999999999,300.0,0.44186415094339637,0.004539159592241049,2587,0.0001
300000,1000,1228,244,0.20648685000000003,300.0,0.43962264150943386,0.007063467521220446,2599,0.0001
301200,1004,1230,244,0.14685095999999997,300.0,0.43738113207547147,0.004686297383159399,2611,0.0001
302400,1008,1232,245,0.08402692999999994,300.0,0.4351396226415095,0.008018793538212776,2623,0.0001
303600,1012,1235,245,0.06163275999999999,300.0,0.43289811320754745,0.0023968559689819813,2635,0.0001
304800,1016,1237,246,0.17509877,300.0,0.43065660377358506,0.004251349717378616,2647,0.0001
306000,1020,1239,246,0.09517062999999994,300.0,0.42841509433962255,0.0023005374241620302,2659,0.0001
307200,1024,1241,247,0.1554568599999999,300.0,0.4261735849056606,0.0022766287438571453,2671,0.0001
308400,1028,1243,247,0.20065661999999984,300.0,0.4239320754716981,0.004733045119792223,2683,0.0001
309600,1032,1246,248,0.2008874899999999,300.0,0.4216905660377357,0.00885107833892107,2695,0.0001
310800,1036,1248,248,0.09754191999999996,300.0,0.41944905660377363,0.00562915438786149,2707,0.0001
312000,1040,1250,249,0.08840933999999999,300.0,0.41720754716981123,0.0031723727006465197,2719,0.0001
313200,1044,1252,249,-0.005927660000000014,300.0,0.4149660377358493,0.0045037236995995045,2731,0.0001
314400,1048,1255,250,0.11680072999999996,300.0,0.4127245283018868,0.006822218187153339,2743,0.0001
315600,1052,1257,250,0.09478771999999996,300.0,0.4104830188679248,0.006516779772937298,2755,0.0001
