time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/clip_fraction,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates
240,300.0,89,182272,759,0.23272570000000012,0.1833984375,-1.2586326897144318,0.017037235,-0.036871396808419374,0.2,0.04973749816417694,0.0003,0.33930904236622156,0.15609794855117798,880
242,300.0,90,184320,761,0.02312093000000023,0.1931640625,-1.252116671949625,0.021144705,-0.036654776018986014,0.2,0.037448760122060776,0.0003,0.2239525309065357,-0.09008598327636719,890
244,300.0,91,186368,762,0.3979649900000002,0.20234375,-1.2542830381542445,0.020970277,-0.039780546659312674,0.2,0.11226679384708405,0.0003,0.295050017721951,0.009927749633789062,900
246,300.0,92,188416,765,0.06893879000000017,0.188671875,-1.2015780832618475,0.018326227,-0.03502574294398073,0.2,0.016708262264728546,0.0003,0.17459412410389633,0.22858017683029175,910
248,300.0,93,190464,767,0.2325503500000001,0.178076171875,-1.1948601264506578,0.01578268,-0.03478372515528463,0.2,0.13868947327136993,0.0003,0.41320695923641326,0.15901505947113037,920
250,300.0,94,192512,769,0.44957130999999995,0.201806640625,-1.2028531923890113,0.01906236,-0.035608694606344214,0.2,0.08519434183835983,0.0003,0.38703256379812956,0.27426671981811523,930
252,300.0,95,194560,771,0.38019019,0.200439453125,-1.197961063683033,0.022256745,-0.040260885548195804,0.2,0.10003748536109924,0.0003,0.3294273328501731,0.3213961720466614,940
254,300.0,96,196608,773,0.21589780000000008,0.17763671875,-1.1988638941198588,0.019272914,-0.03611129822093062,0.2,0.11064773052930832,0.0003,0.43883122131228447,0.4448288083076477,950
256,300.0,97,198656,774,0.49747392999999995,0.156640625,-1.2138682179152966,0.015125244,-0.03339911776711233,0.2,0.2354290932416916,0.0003,0.5571459016762674,0.45615941286087036,960
315,300.0,98,200704,636,0.10065477999999996,0.185546875,-1.214016253501177,0.017448353,-0.036541490769013765,0.2,0.10800023376941681,0.0003,0.36708985683508216,0.4680415987968445,970
317,300.0,99,202752,639,-0.1521705000000001,0.194091796875,-1.233855539560318,0.018566273,-0.03600884004845284,0.2,0.26373618841171265,0.0003,0.5208335450850428,0.23422151803970337,980
319,300.0,100,204800,641,-0.5002248300000001,0.190966796875,-1.239098486304283,0.020099446,-0.03923449971480295,0.2,0.29785189032554626,0.0003,0.71045239912346,0.11629921197891235,990
321,300.0,101,206848,643,-0.12566251000000003,0.203955078125,-1.2115521870553494,0.021569956,-0.03701820316782687,0.2,-0.008545838296413422,0.0003,0.2513568421592936,-0.08002996444702148,1000
323,300.0,102,208896,646,-0.37480872,0.18046875,-1.2317090563476085,0.016759308,-0.037800387346942445,0.2,0.2082746922969818,0.0003,0.5103478290140628,0.07465898990631104,1010
325,300.0,103,210944,648,0.10295409999999994,0.18603515625,-1.2093346502631903,0.01908515,-0.0402741911530029,0.2,0.0925585925579071,0.0003,0.3390126791782677,0.1726265549659729,1020
327,300.0,104,212992,650,0.04290240999999991,0.187109375,-1.1870275508612393,0.018075522,-0.035867485948256214,0.2,0.14991867542266846,0.0003,0.6024596593342721,0.24871045351028442,1030
329,300.0,105,215040,652,-0.13633735000000013,0.191552734375,-1.2170061774551868,0.018633569,-0.039053517632419245,0.2,0.4344101548194885,0.0003,0.9663406165316701,0.21763432025909424,1040
331,300.0,106,217088,655,0.27689106999999985,0.182080078125,-1.2078487597405911,0.019511526,-0.037124628372839655,0.2,0.2758142054080963,0.0003,0.5518733555451035,-0.017275333404541016,1050
333,300.0,107,219136,657,0.52630803,0.203955078125,-1.215325779095292,0.020592567,-0.0368541017989628,0.2,0.1497761309146881,0.0003,0.4300734234042466,0.28107601404190063,1060
335,300.0,108,221184,659,0.40713311999999996,0.18994140625,-1.2003515679389238,0.01947678,-0.038330771848268344,0.2,0.23119190335273743,0.0003,0.6703680420294404,0.1382291316986084,1070
337,300.0,109,223232,661,0.3569410499999999,0.22646484375,-1.183098542317748,0.02255151,-0.03948978960397653,0.2,0.07294651120901108,0.0003,0.40654885158874093,0.2827894687652588,1080
339,300.0,110,225280,663,1.01334262,0.199560546875,-1.1611707706004382,0.01918855,-0.036346710854559205,0.2,0.04526453837752342,0.0003,0.30289529962465167,0.26267749071121216,1090
341,300.0,111,227328,665,1.3506689399999998,0.18974609375,-1.1659313760697843,0.01979769,-0.038538653835712464,0.2,-0.017777033150196075,0.0003,0.16188402380794287,0.4731951355934143,1100
343,300.0,112,229376,667,1.04539463,0.208642578125,-1.1534756805747748,0.018522974,-0.03524390622333158,0.2,-0.014924779534339905,0.0003,0.18567439867183566,0.4578741192817688,1110
345,300.0,113,231424,669,0.8967552499999999,0.178076171875,-1.1720998644828797,0.017184922,-0.03332859788788482,0.2,0.11089606583118439,0.0003,0.4191433000843972,0.24987798929214478,1120
347,300.0,114,233472,671,1.4353421899999999,0.1984375,-1.1807165507227182,0.019832416,-0.038621094686095606,0.2,-0.009058225899934769,0.0003,0.1207976893056184,0.6365205645561218,1130
349,300.0,115,235520,674,1.33210374,0.18115234375,-1.1591511264443397,0.015459137,-0.03369206196293817,0.2,0.44332200288772583,0.0003,0.9699909897521138,0.20227289199829102,1140
351,300.0,116,237568,676,1.1203078999999998,0.189990234375,-1.1691863626241683,0.020061113,-0.03643213953328086,0.2,0.11181728541851044,0.0003,0.3860916767735034,0.12736672163009644,1150
353,300.0,117,239616,678,0.7616620199999998,0.208251953125,-1.1500524960458278,0.022185016,-0.036837627054774204,0.2,-0.03187058866024017,0.0003,0.13802000763826072,0.6476616859436035,1160
355,300.0,118,241664,679,-0.005711930000000062,0.2111328125,-1.1526779834181071,0.021216886,-0.037498643180879296,0.2,0.18722891807556152,0.0003,0.6050479757599533,0.12653779983520508,1170
357,300.0,119,243712,681,0.31583859999999997,0.209423828125,-1.165107374638319,0.02198239,-0.03880459736683406,0.2,0.051545217633247375,0.0003,0.2137892137048766,0.4312862753868103,1180
359,300.0,120,245760,683,0.5104201700000002,0.17783203125,-1.1602778531610967,0.018812548,-0.036436636099824685,0.2,0.13338881731033325,0.0003,0.4135764897800982,0.2202610969543457,1190
361,300.0,121,247808,685,0.5237219800000001,0.184423828125,-1.1574543241411448,0.019911095,-0.0342824687511893,0.2,0.08810970932245255,0.0003,0.467900447268039,0.016972601413726807,1200
